min,mV,mA
0,12813,598
2,12820,598
4,12822,597
6,12822,596
8,12824,596
10,12822,596
12,12820,596
14,12820,595
16,12818,595
18,12818,595
20,12817,595
22,12815,596
24,12815,596
26,12793,690
28,12786,699
30,12786,695
32,12786,696
34,12781,695
37,12779,694
39,12777,693
41,12777,695
43,12772,695
45,12768,695
47,12768,695
49,12765,695
51,12760,696
53,12760,696
55,12756,695
57,12753,695
59,12751,696
61,12746,696
63,12744,696
65,12741,696
67,12736,697
69,12734,695
71,12732,695
74,12725,694
76,12724,694
78,12720,695
80,12717,695
82,12713,696
84,12712,696
86,12706,695
88,12703,694
90,12700,694
92,12694,694
94,12691,694
96,12687,694
98,12681,694
100,12677,695
102,12672,694
104,12665,693
106,12662,693
108,12656,693
109,12653,693
110,12651,694
111,12646,694
112,12643,694
113,12637,694
114,12634,693
115,12627,693
116,12625,693
117,12618,695
118,12610,693
119,12601,693
120,12581,693
121,12567,693
121,12550,693
122,12525,693
132,12382,693
133,11280,138
134,11280,138
135,11280,138
136,11280,138
137,11280,138
