min,mV,mA
0,13043,481
2,12856,521
4,12803,522
6,12798,523
8,12796,524
10,12794,523
12,12794,523
14,12793,524
16,12789,524
18,12779,554
20,12775,554
21,12772,553
23,12772,554
24,12768,554
25,12768,554
26,12767,554
27,12763,554
28,12763,555
29,12762,554
30,12758,554
31,12756,554
32,12758,554
33,12753,554
34,12753,554
35,12750,554
36,12746,554
37,12746,554
38,12746,555
39,12743,557
40,12741,555
41,12737,554
43,12737,555
44,12734,555
45,12732,555
46,12731,554
47,12727,554
48,12725,554
49,12724,555
50,12722,555
51,12718,554
52,12718,555
53,12717,554
54,12713,554
55,12713,555
56,12710,555
57,12708,555
58,12706,555
59,12705,554
60,12703,555
62,12701,555
63,12700,555
64,12698,555
65,12694,554
66,12693,555
67,12693,555
68,12691,554
69,12689,555
70,12687,555
71,12686,555
72,12686,555
73,12682,555
74,12682,555
75,12679,554
76,12679,555
77,12677,555
78,12675,555
79,12674,555
80,12672,555
82,12672,555
83,12670,555
84,12668,555
85,12667,555
86,12665,555
87,12663,555
88,12662,555
89,12662,555
90,12662,555
91,12662,555
92,12658,555
93,12655,554
94,12656,554
95,12655,555
96,12655,555
97,12653,555
98,12651,554
99,12650,555
100,12650,555
102,12648,555
103,12646,555
104,12646,555
105,12644,555
106,12643,554
107,12641,554
108,12641,554
109,12639,554
110,12639,555
111,12636,555
112,12636,554
112,12636,555
113,12634,554
113,12634,554
114,12636,555
114,12634,554
115,12634,555
115,12632,555
116,12632,554
116,12632,554
117,12632,555
118,12632,556
118,12631,555
119,12631,555
119,12629,554
120,12629,555
120,12629,555
121,12627,554
121,12627,554
122,12627,554
123,12627,555
123,12625,555
124,12625,554
124,12624,554
125,12624,554
125,12624,554
126,12622,554
126,12622,554
127,12622,555
128,12620,555
128,12620,555
129,12620,555
129,12618,554
130,12618,555
130,12620,555
131,12617,555
131,12618,554
132,12617,554
132,12617,554
133,12615,555
134,12615,555
134,12613,555
135,12613,555
135,12613,555
136,12613,555
136,12612,555
137,12612,555
137,12610,555
138,12612,555
139,12612,556
139,12610,555
140,12610,555
140,12608,555
141,12610,555
141,12608,555
142,12608,555
142,12608,555
143,12606,555
144,12606,555
144,12606,555
145,12605,555
145,12606,555
146,12605,555
146,12605,555
147,12603,555
147,12605,555
148,12603,555
148,12601,555
149,12600,554
150,12601,555
150,12601,555
151,12600,554
151,12598,555
152,12600,555
152,12598,554
153,12598,555
153,12596,555
154,12596,555
155,12596,555
155,12596,555
156,12596,555
156,12594,554
157,12594,555
157,12593,555
158,12594,555
158,12593,555
159,12593,555
160,12591,555
160,12591,554
161,12591,555
161,12591,555
162,12591,555
162,12589,555
163,12591,555
163,12589,554
164,12587,555
164,12587,555
165,12586,555
166,12587,555
166,12586,555
167,12586,555
167,12586,555
168,12584,555
168,12586,555
169,12582,555
169,12582,555
170,12584,555
171,12582,554
171,12581,554
172,12581,554
172,12581,554
173,12581,554
173,12579,554
174,12577,554
174,12579,555
175,12577,554
176,12575,554
176,12577,555
177,12577,555
177,12575,554
178,12575,554
178,12577,555
179,12575,554
179,12574,554
180,12574,554
180,12572,554
181,12572,554
182,12570,554
182,12572,554
183,12570,554
183,12572,554
184,12570,554
184,12570,554
185,12570,554
185,12568,554
186,12568,554
187,12568,554
187,12567,554
188,12568,554
188,12567,554
189,12567,554
189,12565,555
190,12565,554
190,12565,555
191,12565,555
192,12565,555
192,12565,555
193,12563,555
193,12562,554
194,12562,554
194,12562,555
195,12560,554
195,12562,555
196,12558,554
196,12560,554
197,12558,554
198,12558,554
198,12556,554
199,12556,554
199,12556,554
200,12556,554
200,12556,554
201,12555,554
201,12555,554
202,12556,554
203,12555,554
203,12553,554
204,12553,554
204,12551,554
205,12551,554
205,12551,554
206,12550,554
206,12551,555
207,12550,554
208,12550,554
208,12548,554
209,12550,554
209,12548,554
210,12548,554
210,12548,554
211,12546,554
211,12546,554
212,12546,554
212,12544,554
213,12544,554
214,12543,555
214,12543,554
215,12543,554
215,12543,554
216,12543,554
216,12543,554
217,12543,554
217,12541,554
218,12541,554
219,12539,554
219,12539,554
220,12539,554
220,12539,554
221,12539,554
221,12539,554
222,12536,554
222,12537,554
223,12537,554
224,12536,554
224,12536,554
225,12536,554
225,12534,554
226,12534,554
226,12536,554
227,12534,554
227,12532,554
228,12532,554
228,12532,554
229,12531,554
230,12531,554
230,12531,554
231,12531,554
231,12531,554
232,12529,554
232,12529,554
233,12529,554
233,12527,554
234,12527,554
235,12527,554
235,12525,554
236,12525,554
236,12524,554
237,12527,554
237,12525,554
238,12524,554
238,12524,554
239,12524,554
240,12522,554
240,12522,554
241,12522,554
241,12520,554
242,12520,554
242,12520,554
243,12518,554
243,12518,554
244,12518,554
244,12518,554
245,12518,554
246,12518,554
246,12518,554
247,12515,554
247,12515,554
248,12515,554
248,12515,554
249,12515,554
249,12515,554
250,12515,554
251,12513,554
251,12513,554
252,12512,554
252,12512,554
253,12512,554
253,12512,554
254,12512,554
254,12510,554
255,12510,554
256,12508,554
256,12508,554
257,12508,554
257,12508,554
258,12506,554
258,12506,554
259,12505,554
259,12503,554
260,12505,554
260,12505,554
261,12503,555
262,12505,554
262,12503,554
