min,mV,mA
0,12972,519
2,12893,517
4,12881,517
6,12879,518
8,12879,518
10,12905,415
12,12943,301
14,12843,640
16,12844,621
18,12843,622
20,12837,622
22,12836,622
24,12832,623
26,12827,624
28,12822,623
30,12820,624
32,12813,621
34,12810,624
37,12805,624
39,12800,623
41,12794,623
43,12789,624
45,12781,623
47,12774,622
49,12770,622
51,12763,621
53,12756,622
55,12750,622
57,12743,622
59,12737,622
60,12734,622
61,12731,621
62,12727,621
63,12722,621
64,12720,621
65,12717,620
67,12712,620
68,12710,621
69,12706,620
70,12703,620
71,12700,620
72,12696,620
73,12693,620
74,12689,620
75,12687,620
76,12684,620
77,12681,620
78,12679,621
79,12677,620
80,12674,620
81,12670,621
82,12668,620
83,12668,620
84,12665,620
85,12662,620
87,12662,620
88,12660,620
89,12658,620
90,12656,620
91,12653,619
92,12651,620
93,12651,620
94,12650,620
95,12650,620
96,12648,619
97,12644,619
98,12643,619
99,12643,620
100,12641,620
101,12639,620
102,12639,620
103,12636,620
104,12636,620
105,12634,620
107,12634,620
108,12632,620
109,12631,620
110,12631,620
111,12629,620
112,12629,619
113,12627,620
114,12627,620
115,12627,620
116,12624,619
117,12624,620
118,12622,619
119,12622,619
120,12620,620
121,12620,619
122,12618,620
123,12617,620
124,12617,620
124,12617,620
125,12617,620
125,12617,620
126,12617,620
126,12615,620
127,12615,619
127,12613,619
128,12613,619
129,12613,620
129,12613,620
130,12613,619
130,12613,620
131,12612,619
131,12610,620
132,12610,620
132,12608,620
133,12608,620
134,12608,620
134,12608,620
135,12608,620
135,12608,620
136,12606,620
136,12605,620
137,12605,620
137,12605,619
138,12605,620
138,12605,620
139,12603,620
140,12603,619
140,12601,619
141,12601,619
141,12601,619
142,12601,620
142,12601,619
143,12601,619
143,12601,620
144,12600,619
145,12598,619
145,12601,620
146,12598,619
146,12598,619
147,12596,619
147,12591,620
148,12591,624
150,12593,621
151,12593,621
152,12591,620
153,12589,620
155,12589,620
156,12591,620
157,12587,620
158,12589,620
159,12589,620
160,12587,620
161,12587,620
162,12586,620
163,12584,620
164,12584,620
166,12582,620
167,12581,620
168,12579,620
169,12577,620
170,12577,620
171,12575,620
172,12574,620
173,12574,620
174,12575,620
176,12572,620
177,12572,620
178,12570,620
179,12570,620
180,12570,620
181,12568,620
182,12568,619
183,12567,620
184,12565,620
185,12565,619
187,12565,620
188,12562,619
189,12562,619
190,12562,620
191,12560,619
192,12558,619
193,12558,619
194,12556,619
195,12555,619
196,12555,619
198,12555,620
199,12551,619
200,12551,619
201,12551,619
202,12550,619
203,12548,619
204,12550,619
205,12546,619
206,12546,619
208,12544,619
209,12543,619
210,12541,619
211,12543,619
212,12541,619
213,12539,620
214,12536,621
215,12536,620
216,12536,620
217,12537,619
219,12536,618
220,12536,619
221,12536,618
222,12534,618
223,12532,618
224,12532,619
225,12531,618
226,12531,619
227,12527,618
228,12527,618
230,12527,618
231,12527,618
232,12524,618
233,12524,619
234,12522,619
235,12522,619
236,12520,618
237,12520,618
238,12520,618
240,12518,618
241,12517,618
242,12517,618
243,12517,618
244,12513,617
245,12513,618
246,12513,618
247,12510,617
